n_samples,n_groups,max,distribution,simulation,distribution_truth,distribution_pred,varied,99_perc
1000,3,0.04399999999999993,sparse,relative_difference_per_class,,,,0.034343333333333316
20,6,0.30000000000000004,sparse,relative_difference_per_class,,,,0.2833333333333333
40,6,0.27083333333333337,sparse,relative_difference_per_class,,,,0.18754166666666663
60,6,0.18333333333333335,sparse,relative_difference_per_class,,,,0.1500277777777778
80,6,0.15625,sparse,relative_difference_per_class,,,,0.13335416666666666
100,6,0.14,sparse,relative_difference_per_class,,,,0.11834999999999994
120,6,0.15694444444444444,sparse,relative_difference_per_class,,,,0.10556944444444444
140,6,0.11309523809523811,sparse,relative_difference_per_class,,,,0.09763095238095247
160,6,0.10729166666666667,sparse,relative_difference_per_class,,,,0.09479166666666666
180,6,0.1074074074074074,sparse,relative_difference_per_class,,,,0.08704629629629627
200,6,0.10166666666666668,sparse,relative_difference_per_class,,,,0.08333333333333326
220,6,0.09696969696969698,sparse,relative_difference_per_class,,,,0.07728030303030302
240,6,0.10763888888888895,sparse,relative_difference_per_class,,,,0.07777777777777778
260,6,0.09743589743589742,sparse,relative_difference_per_class,,,,0.07053205128205127
280,6,0.10476190476190472,sparse,relative_difference_per_class,,,,0.06785714285714284
300,6,0.08833333333333332,sparse,relative_difference_per_class,,,,0.06999999999999995
400,6,0.08250000000000002,sparse,relative_difference_per_class,,,,0.06125833333333335
600,6,0.07222222222222219,sparse,relative_difference_per_class,,,,0.05055833333333335
800,6,0.051666666666666666,sparse,relative_difference_per_class,,,,0.043756250000000003
1000,6,0.046499999999999986,sparse,relative_difference_per_class,,,,0.03684333333333326
20,8,0.34375,sparse,relative_difference_per_class,,,,0.27499999999999997
40,8,0.24062499999999998,sparse,relative_difference_per_class,,,,0.19374999999999998
60,8,0.18333333333333335,sparse,relative_difference_per_class,,,,0.15418749999999998
80,8,0.16093749999999996,sparse,relative_difference_per_class,,,,0.1359375
100,8,0.15249999999999997,sparse,relative_difference_per_class,,,,0.12124999999999997
120,8,0.14583333333333337,sparse,relative_difference_per_class,,,,0.11147916666666664
140,8,0.12589285714285717,sparse,relative_difference_per_class,,,,0.1044642857142857
160,8,0.11562500000000003,sparse,relative_difference_per_class,,,,0.09688281249999998
180,8,0.10902777777777772,sparse,relative_difference_per_class,,,,0.08750000000000002
200,8,0.10375000000000001,sparse,relative_difference_per_class,,,,0.08563749999999999
220,8,0.10568181818181815,sparse,relative_difference_per_class,,,,0.07840909090909098
240,8,0.109375,sparse,relative_difference_per_class,,,,0.08022916666666664
260,8,0.1019230769230769,sparse,relative_difference_per_class,,,,0.0740384615384615
280,8,0.109375,sparse,relative_difference_per_class,,,,0.07277232142857133
300,8,0.09541666666666665,sparse,relative_difference_per_class,,,,0.07168333333333331
400,8,0.08062499999999995,sparse,relative_difference_per_class,,,,0.06281250000000005
600,8,0.06562499999999999,sparse,relative_difference_per_class,,,,0.04959374999999997
800,8,0.05124999999999999,sparse,relative_difference_per_class,,,,0.04313125000000002
1000,8,0.04674999999999996,sparse,relative_difference_per_class,,,,0.03837999999999999
20,20,0.33,sparse,relative_difference_per_class,,,,0.295
40,20,0.26875000000000004,sparse,relative_difference_per_class,,,,0.20126250000000004
60,20,0.19166666666666665,sparse,relative_difference_per_class,,,,0.1591749999999999
80,20,0.17687499999999998,sparse,relative_difference_per_class,,,,0.13501875
100,20,0.15199999999999997,sparse,relative_difference_per_class,,,,0.12401499999999999
120,20,0.1404166666666667,sparse,relative_difference_per_class,,,,0.11667083333333336
140,20,0.13535714285714284,sparse,relative_difference_per_class,,,,0.10750000000000001
160,20,0.13093749999999993,sparse,relative_difference_per_class,,,,0.10315624999999999
180,20,0.12888888888888883,sparse,relative_difference_per_class,,,,0.0908472222222222
200,20,0.11524999999999996,sparse,relative_difference_per_class,,,,0.09024999999999994
220,20,0.10454545454545455,sparse,relative_difference_per_class,,,,0.08162954545454543
240,20,0.11625000000000008,sparse,relative_difference_per_class,,,,0.08273749999999999
260,20,0.10480769230769227,sparse,relative_difference_per_class,,,,0.07639038461538454
280,20,0.09875,sparse,relative_difference_per_class,,,,0.07196964285714284
300,20,0.09900000000000003,sparse,relative_difference_per_class,,,,0.07233666666666666
